Fecha de Inscripción;Género;Distrito;Tramos de Edad;Nacionalidad;Código Objetivo Profesional 1;Objetivo Profesional 1;Código Objetivo Profesional 2;Objetivo Profesional 2;Código Objetivo Profesional 3;Objetivo Profesional 3
ene-21;Hombre;Ciudad Lineal;Entre 46 y 55 años;Española;5120;Camareros asalariados;3724;Monitores de actividades recreativas y de entretenimiento;4412;Recepcionistas (excepto de hoteles)
ene-21;Hombre;Otro Municipio;Entre 26 y 35 años;Española;3522;Agentes de compras;6120;Trabajadores cualificados en huertas, invernaderos, viveros y jardines;8333;Operadores de carretillas elevadoras
ene-21;Mujer;Chamartín;Entre 46 y 55 años;Española;2652;Profesionales de relaciones públicas;2651;Profesionales de la publicidad y la comercialización;1222;Directores de publicidad y relaciones públicas
ene-21;Mujer;Villa De Vallecas;Entre 26 y 35 años;Española;2624;Especialistas en políticas y servicios de personal y afines;4422;Recepcionistas de hoteles;3613;Asistentes de dirección y administrativos
ene-21;Hombre;Ciudad Lineal;Entre 36 y 45 años;Extracomunitaria;3534;Agentes y administradores de la propiedad inmobiliaria;3510;Agentes y representantes comerciales;3402;Comerciales de préstamos y créditos
ene-21;Hombre;Puente De Vallecas;Entre 36 y 45 años;Comunitaria;8412;Conductores asalariados de automóviles, taxis y furgonetas;8432;Conductores asalariados de camiones;;
ene-21;Mujer;Chamberí;Entre 26 y 35 años;Española;2484;Diseñadores gráficos y multimedia;2922;Periodistas;3314;Técnicos en laboratorio de diagnóstico clínico
ene-21;Mujer;Carabanchel;Entre 46 y 55 años;Española;2624;Especialistas en políticas y servicios de personal y afines;2329;Profesores y profesionales de la enseñanza no clasificados bajo otros epígrafes;2824;Profesionales del trabajo y la educación social
ene-21;Hombre;Villa De Vallecas;Entre 36 y 45 años;Española;2922;Periodistas;2912;Bibliotecarios, documentalistas y afines;4500;Empleados administrativos con tareas de atención al público no clasificados bajo otros epígrafes
ene-21;Mujer;Villa De Vallecas;Entre 26 y 35 años;Extracomunitaria;4122;Empleados de oficina de servicios de apoyo a la producción;5821;Auxiliares de vuelo y camareros de avión, barco y tren;5220;Vendedores en tiendas y almacenes
ene-21;Mujer;Tetuán;Entre 26 y 35 años;Española;2624;Especialistas en políticas y servicios de personal y afines;2599;Profesionales del derecho no clasificados bajo otros epígrafes;2653;Profesionales de la venta de tecnologías de la información y las comunicaciones
ene-21;Hombre;Villa De Vallecas;Entre 36 y 45 años;Extracomunitaria;9811;Peones del transporte de mercancías y descargadores;5120;Camareros asalariados;5430;Expendedores de gasolineras
ene-21;Mujer;San Blas;Entre 46 y 55 años;Española;3613;Asistentes de dirección y administrativos;4111;Empleados de contabilidad;2623;Especialistas de la Administración Pública
ene-21;Hombre;Tetuán;Entre 46 y 55 años;Española;8412;Conductores asalariados de automóviles, taxis y furgonetas;9601;Peones de obras públicas;7199;Otros trabajadores de las obras estructurales de construcción no clasificados bajo otros epígrafes
ene-21;Mujer;San Blas;Entre 46 y 55 años;Española;3613;Asistentes de dirección y administrativos;4111;Empleados de contabilidad;2599;Profesionales del derecho no clasificados bajo otros epígrafes
ene-21;Hombre;Salamanca;Entre 46 y 55 años;Extracomunitaria;5833;Conserjes de edificios;7121;Albañiles;9229;Otro personal de limpieza
ene-21;Hombre;Hortaleza;Entre 46 y 55 años;Española;7191;Mantenedores de edificios;4500;Empleados administrativos con tareas de atención al público no clasificados bajo otros epígrafes;2625;Especialistas en formación de personal
ene-21;Mujer;Villaverde;Entre 26 y 35 años;Extracomunitaria;9100;Empleados domésticos;9310;Ayudantes de cocina;9811;Peones del transporte de mercancías y descargadores
ene-21;Mujer;Puente De Vallecas;Entre 46 y 55 años;Española;5722;Cuidadores de niños en domicilios;7295;Personal de limpieza de fachadas de edificios y chimeneas;3613;Asistentes de dirección y administrativos
ene-21;Mujer;San Blas;Entre 26 y 35 años;Extracomunitaria;9100;Empleados domésticos;9210;Personal de limpieza de oficinas, hoteles y otros establecimientos similares;5722;Cuidadores de niños en domicilios
ene-21;Mujer;Arganzuela;Menor de 25 años;Española;9320;Preparadores de comidas rápidas;9210;Personal de limpieza de oficinas, hoteles y otros establecimientos similares;5500;Cajeros y taquilleros (excepto bancos)
ene-21;Hombre;Moncloa-aravaca;Entre 36 y 45 años;Española;3831;Técnicos de grabación audiovisual;9512;Peones agrícolas en huertas, invernaderos, viveros y jardines;5220;Vendedores en tiendas y almacenes
ene-21;Mujer;Carabanchel;Entre 26 y 35 años;Extracomunitaria;5220;Vendedores en tiendas y almacenes;3110;Delineantes y dibujantes técnicos;5500;Cajeros y taquilleros (excepto bancos)
ene-21;Hombre;Vicálvaro;Menor de 25 años;Española;2252;Técnicos en educación infantil;5220;Vendedores en tiendas y almacenes;3724;Monitores de actividades recreativas y de entretenimiento
ene-21;Hombre;Fuencarral-el Pardo;Entre 36 y 45 años;Española;2484;Diseñadores gráficos y multimedia;2922;Periodistas;;
ene-21;Mujer;Moncloa-aravaca;Entre 46 y 55 años;Española;3613;Asistentes de dirección y administrativos;4412;Recepcionistas (excepto de hoteles);3739;Otros técnicos y profesionales de apoyo de actividades culturales y artísticas
ene-21;Mujer;Carabanchel;Entre 56 y 65 años;Española;3613;Asistentes de dirección y administrativos;4112;Empleados de control de personal y nóminas;4121;Empleados de control de abastecimientos e inventario
ene-21;Hombre;Otro Municipio;Entre 26 y 35 años;Española;5992;Bañistas-socorristas;3722;Entrenadores y árbitros de actividades deportivas;3724;Monitores de actividades recreativas y de entretenimiento
